Ticker,Price,Value,Rev_g,Margin_d,Discount,Difference
MOH,174.65,1789.47,9.37,10,8.95,925%
CHA,17.07,133.03,10,10,6.84,679%
CIVI,34.39,256.6,10,2.59,9.04,646%
MCK,685.22,4572.4,8.11,10,8.97,567%
JACK,20.43,102.17,1,2.52,10.19,400%
BYDDY,13.49,65.13,10,5.74,9.57,383%
YB,23.85,113.4,10,10,8.67,375%
PAGS,9.6,38.35,8.46,1,10.37,299%
APO,131.55,508.26,1,10,8.97,286%
CNC,28.55,101.27,1.93,1,10.14,255%
GM,58.27,192.28,4.54,1.2,9.9,230%
JD,31.45,102.27,3.42,4.05,8.94,225%
PDD,124.68,400.09,10,10,7.18,221%
CRI,28.74,91.84,1,3.18,9.74,220%
MHO,156.91,486.74,5.84,1.82,8.39,210%
MOMO,8.55,26.16,1,1.71,8.53,206%
DIN,23.68,71.07,1,1.71,10.38,200%
LULU,167.8,499.72,5.04,9.71,7.68,198%
CAL,15.7,46.51,1,1.58,10.03,196%
HMC,34.35,99.57,3.08,1,9.37,190%
AAL,13.07,36.85,1.08,2.04,10.39,182%
JILL,18,50.56,1,4.65,9.89,181%
SRPT,18.71,51.25,10,1.33,9.47,174%
BBY,76.17,206.64,1,8.84,9.3,171%
JEF,63.5,168.58,10,2.12,10.34,165%
M,17.33,43.79,1,2.12,9.95,153%
HP,20.2,50.25,1,1.63,8.97,149%
FLWS,5.1,12.36,1,1.92,9.85,142%
FANG,138.71,332.87,10,1.24,8.28,140%
IBKR,60.16,142.66,9.53,6.72,9.53,137%
JKS,25.48,59.57,1,3.29,10.94,134%
UHS,187.65,427.01,5.41,1.86,8.99,128%
CROX,86.45,191.62,1.76,3.3,9.38,122%
FLXS,48.44,106.46,3.43,2.89,8.57,120%
GAP,23.8,52.25,1,6.86,9.49,120%
MCEM,240,526.4,6.48,2.36,7.93,119%
IAG,9.91,21.42,10,1.19,8.08,116%
NOAH,12.23,26.29,1,1.03,8.16,115%
MPNGY,26.3,56.47,10,4.53,8.53,115%
DVN,34.76,73.95,2.23,2.9,8.8,113%
CHTR,253,520.5,1,1.25,10.16,106%
HES,148.97,305.36,10,2.89,8.77,105%
TASK,18.3,36.96,3.82,2.48,9.08,102%
SKX,63.22,127.23,6.06,1.79,8.57,101%
BBWI,29.41,58.84,1,5.54,9.75,100%
F,11.74,23.4,2.5,1,10.12,99%
UAL,106.59,210.82,3,3.52,9.94,98%
GOOG,235.17,459.4,6.93,5.21,7.71,95%
MGM,36.32,69.39,3.33,3.08,9.94,91%
SCVL,24.61,46.92,1.15,1.95,8.62,91%
EGO,26.12,49.79,10,1.69,8.21,91%
TM,199.62,374.69,3.26,1,9.41,88%
AEO,18.81,35.01,1,3.39,8.96,86%
BWMX,13.7,25.41,4.19,3.16,9.95,85%
BMBL,6.7,12.42,1,1,9,85%
TAP,50.39,93.05,1,1.03,8.94,85%
NVO,55.23,101.8,5.91,5.67,9.33,84%
DELL,124.83,228.46,4.04,2.55,9.91,83%
EXEL,37.88,69.13,8.16,6.18,7.66,82%
GOOGL,235.05,428.83,6.93,5.21,7.71,82%
LKNCY,36.5,65.96,10,6.9,8.19,81%
FMX,84.84,150.89,5.43,2,9.2,78%
SIRI,23.88,42.04,1,1,9.67,76%
SU,40.33,69.12,2.56,3.11,8.76,71%
GPI,483.87,825.59,5.76,1,10.09,71%
TGT,93.17,157.6,1,2.85,9.82,69%
SLB,36.02,59.96,4.76,2.22,8.94,66%
DAL,61.18,100.12,2.1,2.82,9.82,64%
DVA,137.87,223.18,2.96,1.89,9.96,62%
AXR,21.35,34.24,1,1.13,8.11,60%
VSCO,26.25,41.96,1,3.01,10.11,60%
AMWD,68.49,107.98,1,1,8.79,58%
LAD,341.55,537.77,8.29,1,10.4,57%
HHH,78.88,123.25,10,1,9.73,56%
BIDU,101.96,158.38,1,1,8.44,55%
WEN,10.33,16.04,1.49,1.39,10.19,55%
TAL,10.14,15.65,10,10,8.82,54%
NEM,76.2,117.26,10,1.81,8.33,54%
CMCSA,33.91,52.12,1,1.55,9.94,54%
SKY,78.19,118.94,10,2.26,8.14,52%
KHC,27.29,41.48,1,1,8.81,52%
UPS,85.04,129.17,1,3.19,9.79,52%
KSS,16.57,24.99,1,1.18,10.55,51%
